,Unnamed: 0,tag_no,tag_foll_no,DateTime,tag_name,logLine_text,tag_name_foll_no,comments
0,0,46,1,2016-03-22T11:45:09-04:00,rsyslogd,"[origin software=""rsyslogd"" swVersion=""7.4.7"" x-pid=""12745"" x-info=""http://www.rsyslog.com""] start",0,origin software http://www.rsyslog.com start
1,1,43,1,2016-03-22T11:45:09-04:00,rsyslogd-2307,"warning: ~ action is deprecated, consider using the 'stop' statement instead [try http://www.rsyslog.com/e/2307 ]",0,warning: ~ action is deprecated
2,2,43,1,2016-03-22T11:45:09-04:00,rsyslogd-2307,"warning: ~ action is deprecated, consider using the 'stop' statement instead [try http://www.rsyslog.com/e/2307 ]",0,warning: ~ action is deprecated
3,3,30,1,2016-03-22T11:45:09-04:00,systemd,Stopping System Logging Service...,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
4,4,30,1,2016-03-22T11:45:09-04:00,systemd,Starting System Logging Service...,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
5,5,30,1,2016-03-22T11:45:09-04:00,systemd,Started System Logging Service.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
6,6,29,1,2016-03-22T11:45:09-04:00,puppet-agent,(/Stage[main]/Psc::Syslog/Service[rsyslog]) Triggered 'refresh' from 2 events,11764,enable changed 'false' to 'true'; Applied catalog;mode changed '0755' to '1777'; Triggered 'refresh'; defined content
7,7,29,1,2016-03-22T11:45:09-04:00,puppet-agent,(/Stage[main]/Psc::Sendmail/File[/etc/mail/sendmail.cf]/content) content changed '{md5}36238b0560584af8142f10b05b0f2b34' to '{md5}25924a283435840cf9461792d2fa27b5',11764,enable changed 'false' to 'true'; Applied catalog;mode changed '0755' to '1777'; Triggered 'refresh'; defined content
8,8,29,1,2016-03-22T11:45:09-04:00,puppet-agent,(/Stage[main]/Psc::Sendmail/File[/etc/mail/submit.cf]/content) content changed '{md5}f68ab9a5c5ec5c58a255243906be2131' to '{md5}df07226fb5e72263293f4d6e3d704a6a',11764,enable changed 'false' to 'true'; Applied catalog;mode changed '0755' to '1777'; Triggered 'refresh'; defined content
9,9,29,1,2016-03-22T11:45:09-04:00,puppet-agent,(/Stage[main]/Psc::Sendmail/File[/etc/mail/service.switch]/ensure) defined content as '{md5}03bbf0df178a91b4051bb353c93a1885',11764,enable changed 'false' to 'true'; Applied catalog;mode changed '0755' to '1777'; Triggered 'refresh'; defined content
10,10,30,1,2016-03-22T11:45:10-04:00,systemd,Stopping Sendmail Mail Transport Client...,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
11,11,30,1,2016-03-22T11:45:10-04:00,systemd,Stopping Sendmail Mail Transport Agent...,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
12,12,30,1,2016-03-22T11:45:10-04:00,systemd,Starting Sendmail Mail Transport Agent...,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
13,13,29,1,2016-03-22T11:45:12-04:00,nscd,12600 checking for monitored file `/etc/netgroup': No such file or directory,0,`/etc/netgroup': No such file or directory;Monitoring File; Monitored File; stat failed for file `/etc/netgroup'; will try again later: No such file or directory
14,14,22,1,2016-03-22T11:45:14-04:00,sendmail,"u2MFjEcU012727: from=fail2ban@localhost, size=223, class=0, nrcpts=1, msgid=<201603221545.u2MFjEcU012727@r001.pvt.bridges.psc.edu>, relay=root@localhost",12727,who sent mail to who
15,15,22,1,2016-03-22T11:45:14-04:00,sendmail,"u2MFjEcU012727: to=root@localhost, delay=00:00:00, xdelay=00:00:00, mailer=relay, pri=30223, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",12727,who sent mail to who
16,16,22,1,2016-03-22T11:45:15-04:00,sendmail,starting daemon (8.14.7): SMTP+queueing@01:00:00,12774,who sent mail to who
17,17,30,1,2016-03-22T11:45:15-04:00,systemd,PID file /run/sendmail.pid not readable (yet?) after start.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
18,18,30,1,2016-03-22T11:45:15-04:00,systemd,Started Sendmail Mail Transport Agent.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
19,19,30,1,2016-03-22T11:45:15-04:00,systemd,Starting Sendmail Mail Transport Client...,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
20,20,29,1,2016-03-22T11:45:15-04:00,puppet-agent,(/Stage[main]/Psc::Sendmail/Service[sendmail]) Triggered 'refresh' from 3 events,11764,enable changed 'false' to 'true'; Applied catalog;mode changed '0755' to '1777'; Triggered 'refresh'; defined content
21,21,29,1,2016-03-22T11:45:15-04:00,puppet-agent,(/Stage[main]/Bridges::Omnipath/File[/etc/sysconfig/irqbalance]/content) content changed '{md5}5d2ffed2b2c76cc7b751e3bf412b1181' to '{md5}e7f5ab16d9d8e7941c55f0f5f259b0fd',11764,enable changed 'false' to 'true'; Applied catalog;mode changed '0755' to '1777'; Triggered 'refresh'; defined content
22,22,22,1,2016-03-22T11:45:15-04:00,sm-msp-queue,starting daemon (8.14.7): queueing@01:00:00,12789,starting daemon (8.14.7): queueing@01:00:00;Mail send
23,23,30,1,2016-03-22T11:45:15-04:00,systemd,Failed to read PID from file /run/sm-client.pid: Invalid argument,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
24,24,30,1,2016-03-22T11:45:15-04:00,systemd,Started Sendmail Mail Transport Client.,0,Failed to read PID; SMTP Correspondence; Stopping irqbalance daemon...; Config Files; Reloading
25,25,29,1,2016-03-22T11:45:15-04:00,puppet-agent,(/Stage[main]/Bridges::Omnipath/File[/etc/modprobe.d/hfi1.conf]/ensure) defined content as '{md5}b4852eaba545b43aec46efd2d8ac16c9',11764,enable changed 'false' to 'true'; Applied catalog;mode changed '0755' to '1777'; Triggered 'refresh'; defined content
26,26,18,1,2016-03-22T11:45:15-04:00,sendmail,u2MFjFPg012791: SYSERR(root): Switch map aliases: unknown member map aliases.nisplus,12791,who sent mail to who
