,Tag_name,sumCompare,sumMonth
0,CROND,0.0,0.0
1,MPI-job,0.0,
2,PPM2F.exe,4.75,
3,Roux,3.0,
4,anacron,0.0,0.0
5,auditd,0.0,0.0
6,automount,6.285714285714286,6.0
7,avahi-daemon,0.0,
8,cactus_sim,1.0,
9,chronyd,0.0,
10,crond,587.6416791604198,588.0
11,crontab,0.0,0.0
12,dbus,0.0,
13,dbus-daemon,0.0,
14,dhclient,0.0,0.0
15,dhcp-all-interfaces.sh,0.0,
16,gmx_mpi,3.0,
17,hp-asrd.sh,0.0,
18,hp-health.sh,0.0,
19,hpasmlited,0.0,
20,hpasrd,0.0,
21,ifup,0.0,
22,journal,0.0,
23,kdumpctl,2.2285714285714286,
24,kernel,60.08423913043478,96.14285714285712
25,ldconfig,2.2285714285714286,
26,logger,2.2580645161290325,
27,modulecmd,0.01199400299850075,0.045454545454545456
28,mount,3.1555555555555554,
29,network,5.454545454545454,
30,nhc,21.6,
31,nscd,0.0,0.0
32,nslcd,2.8301886792452833,38.315789473684205
33,ntpd,0.0,
34,nwchem,7.75,
35,oddjobd,3.0,
36,opa-init-kernel,0.0,
37,osu_allgather,32.0,
38,osu_allgatherv,14.0,
39,osu_bcast,52.0,
40,osu_gather,42.0,
41,osu_scatter,54.0,
42,pam_slurm,0.13193403298350825,0.0
43,pmcd,0.0,
44,pmlogger,0.0,
45,pmlogger_daily,0.0,0.0
46,polkitd,0.0,
47,puppet-agent,156.23988005997,184.59090909090907
48,rhnsd,0.0,0.0
49,root,2.0,2.0
50,rsyslogd,1.0389610389610389,
51,run-parts(,0.0,0.0
52,sendmail,3.3580246913580245,4.0
53,slurmd-epilog,0.32774674115456237,2.357142857142857
54,slurmd-prolog,0.3091247672253259,1.6428571428571428
55,sm-msp-queue,0.0,
56,sm-notify,0.0,
57,smartd,0.0,
58,sshd,0.013493253373313342,0.0
59,su,0.0,
60,sudo,2.6666666666666665,
61,systemd,108.35982008995502,97.9090909090909
62,systemd-logind,0.0,0.0
63,umount,0.2,
64,vasp_std,84.0,
65,vasp_std_544,28.0,
66,wrf.exe-dmpar-3.3.1-4.1.3-g,9.0,
67,xinetd,0.0,
68,yum,0.0,
