6,(/Stage[main]/Psc::Syslog/Service[rsyslog]) Triggered 'refresh' from 2 events
7,(/Stage[main]/Psc::Sendmail/File[/etc/mail/sendmail.cf]/content) content changed '{md5}36238b0560584af8142f10b05b0f2b34' to '{md5}25924a283435840cf9461792d2fa27b5'
8,(/Stage[main]/Psc::Sendmail/File[/etc/mail/submit.cf]/content) content changed '{md5}f68ab9a5c5ec5c58a255243906be2131' to '{md5}df07226fb5e72263293f4d6e3d704a6a'
9,(/Stage[main]/Psc::Sendmail/File[/etc/mail/service.switch]/ensure) defined content as '{md5}03bbf0df178a91b4051bb353c93a1885'
20,(/Stage[main]/Psc::Sendmail/Service[sendmail]) Triggered 'refresh' from 3 events
21,(/Stage[main]/Bridges::Omnipath/File[/etc/sysconfig/irqbalance]/content) content changed '{md5}5d2ffed2b2c76cc7b751e3bf412b1181' to '{md5}e7f5ab16d9d8e7941c55f0f5f259b0fd'
25,(/Stage[main]/Bridges::Omnipath/File[/etc/modprobe.d/hfi1.conf]/ensure) defined content as '{md5}b4852eaba545b43aec46efd2d8ac16c9'
33,(/Stage[main]/Bridges::Omnipath/Service[irqbalance]) Triggered 'refresh' from 1 events
44,(/Stage[main]/Bridges::Omnipath/Package[rdma-ndd]/ensure) created
70,(/Stage[main]/Bridges::Omnipath/Service[rdma-ndd]/ensure) ensure changed 'stopped' to 'running'
71,(/Stage[main]/Bridges::Slurm/File[munge.key]/ensure) defined content as '{md5}1d80d5b62bee55e8a69fc91e8432e011'
95,(/Stage[main]/Bridges::Slurm/Service[munge.service]/ensure) ensure changed 'stopped' to 'running'
107,(/Stage[main]/Bridges::Slurm/User[slurm]/shell) shell changed '/bin/nologin' to '/sbin/nologin'
108,(/Stage[main]/Bridges::Slurm/File[slurmd.service]/ensure) defined content as '{md5}f5fe10678a15942755fbb5be6eb42614'
133,(/Stage[main]/Bridges::Slurm/Service[slurmd.service]/ensure) ensure changed 'stopped' to 'running'
134,(/Stage[main]/Bridges::Pylon2/File[/var/log/slash2]/ensure) created
135,(/Stage[main]/Bridges::Pylon2/File[/var/log/slash2/log]/ensure) created
136,(/Stage[main]/Bridges::Pylon2/File[/var/log/slash2/c]/ensure) created
