Node Number,Date,,,,
89,"""2018-01-22:2018-01-22""",,,,
90,"""2018-01-22:2018-01-22""",,,,
91,"""2018-01-22:2018-01-22""",,,,
92,"""2018-01-22:2018-01-22""",,,,
93,"""2018-01-22:2018-01-22""",,,,
94,"""2018-01-22:2018-01-22""",,,,
95,"""2018-01-22:2018-01-22""",,,,
96,"""2018-01-22:2018-01-22""",,,,
97,"""2018-01-22:2018-01-22""",,,,
98,"""2018-01-22:2018-01-22""",,,,
99,"""2018-01-22:2018-01-22""",,,,
100,"""2018-01-22:2018-01-22""",,,,
101,"""2018-01-22:2018-01-22""",,,,
102,"""2018-01-22:2018-01-22""",,,,
103,"""2018-01-22:2018-01-22""",,,,
104,"""2018-01-22:2018-01-22""",,,,
105,"""2018-01-22:2018-01-22""",,,,
106,"""2018-01-22:2018-01-22""",,,,
25,"""2018-02-07:2018-02-08""",,,,
26,"""2018-02-07:2018-02-08""",,,,
27,"""2018-02-07:2018-02-08""",,,,
28,"""2018-02-07:2018-02-08""",,,,
29,"""2018-02-07:2018-02-08""",,,,
30,"""2018-02-07:2018-02-08""",,,,
151,"""2018-02-06:2018-02-08""",,,,
152,"""2018-02-06:2018-02-08""",,,,
153,"""2018-02-06:2018-02-08""",,,,
154,"""2018-02-06:2018-02-08""",,,,
187,"""2018-02-04:2018-02-05""",,,,
188,"""2018-02-04:2018-02-05""",,,,
189,"""2018-02-04:2018-02-05""",,,,
190,"""2018-02-04:2018-02-05""",,,,
191,"""2018-02-04:2018-02-05""",,,,
192,"""2018-02-04:2018-02-05""",,,,
109,"""2018-02-04:2018-02-05""",,,,
110,"""2018-02-04:2018-02-05""",,,,
111,"""2018-02-04:2018-02-05""",,,,
112,"""2018-02-04:2018-02-05""",,,,
113,"""2018-02-04:2018-02-05""",,,,
114,"""2018-02-04:2018-02-05""",,,,
115,"""2018-02-04:2018-02-05""",,,,
116,"""2018-02-04:2018-02-05""",,,,
117,"""2018-02-04:2018-02-05""",,,,
118,"""2018-02-04:2018-02-05""",,,,
119,"""2018-02-04:2018-02-05""",,,,
120,"""2018-02-04:2018-02-05""",,,,
121,"""2018-02-04:2018-02-05""",,,,
122,"""2018-02-04:2018-02-05""",,,,
123,"""2018-02-04:2018-02-05""",,,,
124,"""2018-02-04:2018-02-05""",,,,
125,"""2018-02-04:2018-02-05""",,,,
126,"""2018-02-04:2018-02-05""",,,,
127,"""2018-02-04:2018-02-05""",,,,
128,"""2018-02-04:2018-02-05""",,,,
129,"""2018-02-04:2018-02-05""",,,,
130,"""2018-02-04:2018-02-05""",,,,
131,"""2018-02-04:2018-02-05""",,,,
132,"""2018-02-04:2018-02-05""",,,,
133,"""2018-02-04:2018-02-05""",,,,
134,"""2018-02-04:2018-02-05""",,,,
135,"""2018-02-04:2018-02-05""",,,,
136,"""2018-02-04:2018-02-05""",,,,
137,"""2018-02-04:2018-02-05""",,,,
138,"""2018-02-04:2018-02-05""",,,,
139,"""2018-02-04:2018-02-05""",,,,
140,"""2018-02-04:2018-02-05""",,,,
141,"""2018-02-04:2018-02-05""",,,,
142,"""2018-02-04:2018-02-05""",,,,
143,"""2018-02-04:2018-02-05""",,,,
144,"""2018-02-04:2018-02-05""",,,,
270,"""2018-02-04:2018-02-05""",,,,
271,"""2018-02-04:2018-02-05""",,,,
272,"""2018-02-04:2018-02-05""",,,,
273,"""2018-02-04:2018-02-05""",,,,
274,"""2018-02-04:2018-02-05""",,,,
275,"""2018-02-04:2018-02-05""",,,,
292,"""2018-02-04:2018-02-05""",,,,
293,"""2018-02-04:2018-02-05""",,,,
294,"""2018-02-04:2018-02-05""",,,,
295,"""2018-02-04:2018-02-05""",,,,
390,"""2018-02-04:2018-02-05""",,,,
391,"""2018-02-04:2018-02-05""",,,,
392,"""2018-02-04:2018-02-05""",,,,
